Rank,Model,R²,RMSE,MAE,MAPE (%),CV R² (mean),CV R² (std)
1,Random Forest,0.7350456614354683,0.6936649164354357,0.5294368678849363,17.672859686747554,0.6463539691767365,0.07901224120686136
2,Gradient Boosting,0.7320073045466876,0.6976308710420309,0.5321027329476605,17.2923559545524,0.6268057704953566,0.08113293130905322
3,XGBoost,0.7272899825700165,0.7037440849392486,0.5230314313727366,17.428141498521335,0.6311196838504278,0.07994895870433225
4,Voting Ensemble,0.7236256162303791,0.7084563635943663,0.5352168048798324,17.88094406143302,0.6607215017966732,0.07877591294421421
5,Stacking Ensemble,0.7201497607186693,0.7128974369205755,0.5369318622389323,17.87276771843823,0.6634148021335333,0.07655434570301693
6,SVR (RBF),0.7028064660340787,0.7346557636259762,0.5533231319680099,18.60449035106588,0.6572495603125752,0.07239611079890497
7,Deep MLP (Neural Network),0.6803827047369221,0.7618673251343034,0.564388116139262,18.353614712590577,0.6134207325337624,0.10989750949886605
8,KNN Regressor,0.6742432520957389,0.7691497838905436,0.5599778978019077,17.839900995725625,0.638420044781015,0.08952627429219447
9,Ridge Regression,0.6542948184734909,0.7923501718743925,0.5968121327052026,19.796388120345455,0.5820373524477465,0.08331667405717788
10,ElasticNet,0.6541958339671604,0.7924635991260308,0.5977155494344062,19.839653633777928,0.5831014870441492,0.08216756589466924
11,Lasso Regression,0.6541749828368258,0.792487490556985,0.5977780367761355,19.843619008486048,0.5831532119468836,0.08207689588654987
